CodSite;lat;long;specie;NumIndiv;habitat
Site6;-19.616667;-43.4;Abarema brachystachya (DC.) Barneby & J.W.Grimes;1;Montane Seasonal Atlantic Forest 
Site5;-22.616667;-43.883333;Abarema cochliacarpos (Gomes) Barneby & J.W.Grimes;2;Montane Seasonal Atlantic Forest 
Site4;-28.733333;-49.75;Abarema langsdorffii (Benth.) Barneby & J.W.Grimes;2;Montane Dense Ombrophilous Atlantic Forest 
Site13;-21.999167;-43.890833;Abarema langsdorffii (Benth.) Barneby & J.W.Grimes;2;Montane Dense Ombrophilous Atlantic Forest 
Site1;-20.798333;-41.292778;Abarema limae Iganci & M.P.Morim;20;Submontane Seasonal Atlantic Forest
Site15;-27.816111;-50.324167;Acca sellowiana (O.Berg) Burret;8;Mixed Ombrophilous Atlantic Forest
Site4;-28.733333;-49.75;Actinostemon concolor (Spreng.) MÃ¼ll.Arg.;49;Montane Dense Ombrophilous Atlantic Forest 
Site1;-20.798333;-41.292778;Actinostemon klotzschii (Didr.) Pax;703;Submontane Seasonal Atlantic Forest
Site1;-20.798333;-41.292778;Actinostemon verticillatus (Klotzsch) Baill.;7;Submontane Seasonal Atlantic Forest
Site11;-8.032611;-35.192125;Actinostemon verticillatus (Klotzsch) Baill.;58;Lowlands Seasonal Atlantic Forest 
Site9;-25.444167;-48.931667;Adenostemma brasilianum (Pers.) Cass.;0;Montane Dense Ombrophilous Atlantic Forest 
Site4;-28.733333;-49.75;Aegiphila brachiata Vell.;2;Montane Dense Ombrophilous Atlantic Forest 
Site4;-28.733333;-49.75;Aegiphila integrifolia (Jacq.) Moldenke;4;Montane Dense Ombrophilous Atlantic Forest 
Site14;-21.976389;-43.878889;Aegiphila sellowiana Cham.;10;Montane Cloud Atlantic Forest
Site13;-21.999167;-43.890833;Agonandra excelsa Griseb.;1;Montane Dense Ombrophilous Atlantic Forest 
Site3;-22.7222082;-42.628058;Aiouea saligna Meisn.;3;Submontane Dense Ombrophilous Atlantic Forest 
Site4;-28.733333;-49.75;Albizia edwallii (Hoehne) Barneby & J.W.Grimes;2;Montane Dense Ombrophilous Atlantic Forest 
Site11;-8.032611;-35.192125;Albizia polycephala (Benth.) Killip ex Record;13;Lowlands Seasonal Atlantic Forest 
Site3;-22.7222082;-42.628058;Albizia polycephala (Benth.) Killip ex Record;1;Submontane Dense Ombrophilous Atlantic Forest 
Site7;-7.633333;-35.5;Albizia polycephala (Benth.) Killip ex Record;1;Montane Dense Ombrophilous Atlantic Forest 
Site3;-22.7222082;-42.628058;Alchornea glandulosa Poepp. & Endl.;4;Submontane Dense Ombrophilous Atlantic Forest 
Site4;-28.733333;-49.75;Alchornea glandulosa Poepp. & Endl.;4;Montane Dense Ombrophilous Atlantic Forest 
Site12;-22.003611;-43.888333;Alchornea sidifolia Müll. Arg.;10;0
Site14;-21.976389;-43.878889;Alchornea tripliner via (Spreng.) Müll. Arg.;218;Montane Cloud Atlantic Forest
Site4;-28.733333;-49.75;Alchornea tripliner via (Spreng.) Müll. Arg.;41;Montane Dense Ombrophilous Atlantic Forest 
Site5;-22.616667;-43.883333;Alchornea tripliner via (Spreng.) Müll. Arg.;1;Montane Seasonal Atlantic Forest 
Site12;-22.003611;-43.888333;Alchornea tripliner via (Spreng.) Müll. Arg.;38;0
Site13;-21.999167;-43.890833;Alchornea tripliner via (Spreng.) Müll. Arg.;3;Montane Dense Ombrophilous Atlantic Forest 
Site8;-22.710833;-45.931667;Alibertia elliptica K. Schum.;0;High-montane Dense Ombrophilous Atlantic Forest
Site8;-22.710833;-45.931667;Alibertia myrciifolia K. Schum.;0;High-montane Dense Ombrophilous Atlantic Forest
Site11;-8.032611;-35.192125;Allophylus edulis (A.St.-Hil., Cambess. & A.Juss.) Radlk.;3;Lowlands Seasonal Atlantic Forest 
Site4;-28.733333;-49.75;Allophylus edulis (A.St.-Hil., Cambess. & A.Juss.) Radlk.;28;Montane Dense Ombrophilous Atlantic Forest 
Site13;-21.999167;-43.890833;Allophylus edulis (A.St.-Hil., Cambess. & A.Juss.) Radlk.;3;Montane Dense Ombrophilous Atlantic Forest 
Site15;-27.816111;-50.324167;Allophylus guaraniticus (A. St.-Hil.) Radlk.;29;Mixed Ombrophilous Atlantic Forest
Site2;-22.528333;-50.715556;Allophylus petiolulatus Radlk.;2;Montane Dense Ombrophilous Atlantic Forest 
Site10;-20.673889;-40.393889;Allophylus puberulus (A. St.-Hil.) Radlk.    ;2;Submontane Dense Ombrophilous Atlantic Forest 
Site11;-8.032611;-35.192125;Alseis floribunda Schott;29;Lowlands Seasonal Atlantic Forest 
Site16;-8.016667;-35.174167;Alseis pickelii Pilger & Schmale;1;Lowlands Dense Ombrophilous Atlantic Forest 
Site11;-8.032611;-35.192125;Alseis pickelii Pilger & Schmale;5;Lowlands Seasonal Atlantic Forest 
Site4;-28.733333;-49.75;Alsophila setosa Kaulf.;77;Montane Dense Ombrophilous Atlantic Forest 
Site10;-20.673889;-40.393889;Amaioua guianensis A. DC.     ;1;Submontane Dense Ombrophilous Atlantic Forest 
Site7;-7.633333;-35.5;Amaioua guianensis A. DC.     ;6;Montane Dense Ombrophilous Atlantic Forest 
Site13;-21.999167;-43.890833;Amaioua guianensis A. DC.     ;16;Montane Dense Ombrophilous Atlantic Forest 
Site14;-21.976389;-43.878889;Amaioua guianensis A. DC.     ;1;Montane Cloud Atlantic Forest
Site6;-19.616667;-43.4;Amaioua intermedia Mart. ex Schult. & Schult.f.;3;Montane Seasonal Atlantic Forest 
Site11;-8.032611;-35.192125;Amphirrox surinamensis Eichl.;2;Lowlands Seasonal Atlantic Forest 
Site6;-19.616667;-43.4;Anadenanthera colubrina (Vell.) Brenan;1;Montane Seasonal Atlantic Forest 
Site1;-20.798333;-41.292778;Anadenanthera peregrina (L.) Speg;94;Submontane Seasonal Atlantic Forest
Site16;-8.016667;-35.174167;Anaxagorea dolichocarpa Sprague & Sandwith;24;Lowlands Dense Ombrophilous Atlantic Forest 
Site3;-22.7222082;-42.628058;Andira anthelmia (Vell.) Benth.;2;Submontane Dense Ombrophilous Atlantic Forest 
Site3;-22.7222082;-42.628058;Andira fraxinifolia Benth.;2;Submontane Dense Ombrophilous Atlantic Forest 
Site12;-22.003611;-43.888333;Andira fraxinifolia Benth.;3;0
Site16;-8.016667;-35.174167;Andira nitida Mart. ex Benth.;5;Lowlands Dense Ombrophilous Atlantic Forest 
Site10;-20.673889;-40.393889;Andira nitida Mart. ex Benth.;1;Submontane Dense Ombrophilous Atlantic Forest 
Site1;-20.798333;-41.292778;Andradea floribunda Allemão;5;Submontane Seasonal Atlantic Forest
Site5;-22.616667;-43.883333;Aniba firmula (Nees & Mart.) Mez;1;Montane Seasonal Atlantic Forest 
Site12;-22.003611;-43.888333;Aniba firmula (Nees & Mart.) Mez;1;0
Site13;-21.999167;-43.890833;Aniba firmula (Nees & Mart.) Mez;2;Montane Dense Ombrophilous Atlantic Forest 
Site10;-20.673889;-40.393889;Annona acutiflora Mart.      ;30;Submontane Dense Ombrophilous Atlantic Forest 
Site4;-28.733333;-49.75;Annona cacans Warm.;4;Montane Dense Ombrophilous Atlantic Forest 
Site14;-21.976389;-43.878889;Annona cacans Warm.;20;Montane Cloud Atlantic Forest
Site4;-28.733333;-49.75;Annona neosericea H.Rainer;2;Montane Dense Ombrophilous Atlantic Forest 
Site4;-28.733333;-49.75;Annona rugulosa (Schltdl.) H.Rainer;12;Montane Dense Ombrophilous Atlantic Forest 
Site15;-27.816111;-50.324167;Annona rugulosa (Schltdl.) H.Rainer;15;Mixed Ombrophilous Atlantic Forest
Site4;-28.733333;-49.75;Annona sericea Dunal;6;Montane Dense Ombrophilous Atlantic Forest 
Site9;-25.444167;-48.931667;Anthurium harrisii (Grah.) G. Don;0;Montane Dense Ombrophilous Atlantic Forest 
Site9;-25.444167;-48.931667;Anthurium pentaphyllum (Aubl.) G.Don;0;Montane Dense Ombrophilous Atlantic Forest 
Site3;-22.7222082;-42.628058;Aparisthmium cordatum (A.Juss.) Baill.;12;Submontane Dense Ombrophilous Atlantic Forest 
Site6;-19.616667;-43.4;Aparisthmium cordatum (A.Juss.) Baill.;13;Montane Seasonal Atlantic Forest 
Site7;-7.633333;-35.5;Aparisthmium cordatum (A.Juss.) Baill.;1;Montane Dense Ombrophilous Atlantic Forest 
Site13;-21.999167;-43.890833;Aparisthmium cordatum (A.Juss.) Baill.;94;Montane Dense Ombrophilous Atlantic Forest 
Site7;-7.633333;-35.5;Apeiba tibourbou Aubl.;1;Montane Dense Ombrophilous Atlantic Forest 
Site3;-22.7222082;-42.628058;Apuleia leiocarpa (Vogel) J.F.Macbr.;13;Submontane Dense Ombrophilous Atlantic Forest 
Site5;-22.616667;-43.883333;Apuleia leiocarpa (Vogel) J.F.Macbr.;2;Montane Seasonal Atlantic Forest 
Site6;-19.616667;-43.4;Apuleia leiocarpa (Vogel) J.F.Macbr.;8;Montane Seasonal Atlantic Forest 
Site15;-27.816111;-50.324167;Araucaria angustifolia (Bertol.) Kuntze;198;Mixed Ombrophilous Atlantic Forest
Site9;-25.444167;-48.931667;Ardisia guianensis (Aubl.) Mez.;0;Montane Dense Ombrophilous Atlantic Forest 
Site14;-21.976389;-43.878889;Aspidosperma australe Müll.Arg.;1;Montane Cloud Atlantic Forest
Site7;-7.633333;-35.5;Aspidosperma discolor A.DC.;1;Montane Dense Ombrophilous Atlantic Forest 
Site4;-28.733333;-49.75;Aspidosperma olivaceum Müll.Arg.;12;Montane Dense Ombrophilous Atlantic Forest 
Site14;-21.976389;-43.878889;Aspidosperma olivaceum Müll.Arg.;2;Montane Cloud Atlantic Forest
Site11;-8.032611;-35.192125;Aspidosperma parvifolium A. DC.;1;Lowlands Seasonal Atlantic Forest 
Site10;-20.673889;-40.393889;Aspidosperma parvifolium A. DC.;42;Submontane Dense Ombrophilous Atlantic Forest 
Site2;-22.528333;-50.715556;Aspidosperma ramiflorum MÃ¼ll.Arg.;5;Montane Dense Ombrophilous Atlantic Forest 
Site7;-7.633333;-35.5;Aspidosperma spruceanum Benth. ex MÃ¼ll.Arg.;1;Montane Dense Ombrophilous Atlantic Forest 
